,School,logit_probabilities,rf_probabilities,xgb_probabilities,nn_probabilities
8159,Florida State,5.9566355832499785e-09,0.0,0.0027922792,0.0
8160,Fordham,2.4213109076790858e-11,0.0,0.0027744563,0.0
8161,Fresno State,7.0029008896126966e-09,0.0,0.0027887693,0.0
8162,Furman,4.29272624215567e-09,0.0,0.0027689566,0.05
8163,Gardner-Webb,3.6779731793406896e-14,0.0,0.0027786647,0.0
8164,George Mason,3.1779832539469036e-12,0.0,0.0027744572,0.0
8165,George Washington,2.2351683711644238e-13,0.0,0.002769165,0.0
8166,Georgetown,2.2217497916218264e-09,0.0,0.0027691608,0.0
8167,Georgia,5.380859776233e-14,0.0,0.0027692458,0.0
8168,Georgia Southern,2.3734737944263463e-15,0.0,0.0027691731,0.0
8169,Georgia State,2.0696158612814832e-10,0.0,0.0027827665,0.0
8170,Georgia Tech,1.9327371530168812e-11,0.0,0.002769165,0.0
8171,Gonzaga,0.05188380052214377,0.0,0.002886711,0.05
8172,Grambling,2.952831047332583e-15,0.0,0.0027691608,0.0
8173,Grand Canyon,4.1578204221561093e-11,0.0,0.0028067494,0.0
8174,Green Bay,9.056079724231236e-20,0.0,0.0027691617,0.0
8175,Hampton,2.1431930043275093e-18,0.0,0.0027691578,0.0
8176,Hartford,7.180215378873147e-16,0.0,0.0027691973,0.0
8177,Harvard,6.252492125363692e-16,0.0,0.0027838564,0.0
8178,Hawaii,1.6224127070373266e-14,0.0,0.0027744502,0.0
8179,High Point,9.440630431734459e-16,0.0,0.0027744675,0.0
8180,Hofstra,3.31248556582424e-10,0.0,0.0027916,0.0
8181,Holy Cross,8.812459434266241e-18,0.0,0.002769165,0.0
8182,Houston,0.017299467498959446,0.0,0.002903796,0.05
8183,Houston Christian,1.288725238902896e-16,0.0,0.0027691608,0.0
8184,Howard,1.7173593882671876e-14,0.0,0.0027880617,0.0
8185,Idaho,9.17712828005561e-18,0.0,0.0027946418,0.0
8186,Idaho State,3.180102242886722e-21,0.0,0.0027691608,0.0
8187,Illinois,3.683331308694472e-07,0.0,0.0028072791,0.0
8188,Illinois State,1.0584800996364337e-09,0.0,0.0027788565,0.0
8189,Illinois-Chicago,6.515098414210141e-18,0.0,0.0027785578,0.0
8190,Incarnate Word,4.1599642038774054e-17,0.0,0.0027946439,0.0
8191,Indiana,3.362820221828279e-08,0.0,0.0028021373,0.0
8192,Indiana State,2.7840147810451264e-11,0.0,0.0027692611,0.0
8193,Iona,9.880238773829601e-11,0.0,0.0028126352,0.0
8194,Iowa,0.0003051992188418789,0.0625,0.0028414237,0.05
8195,Iowa State,6.605375933581547e-08,0.0,0.0027886564,0.0
8196,IUPUI,2.0851633152551383e-22,0.0,0.002778649,0.0
8197,Jackson State,2.1981769077466137e-18,0.0,0.0027827816,0.0
8198,Jacksonville,5.956045236795236e-13,0.0,0.0027923,0.0
8199,Jacksonville State,1.5063686117291254e-11,0.0,0.0027787625,0.0
8200,James Madison,1.0982389514503903e-12,0.0,0.0027744602,0.0
8201,Kansas,0.1958733414187793,0.78125,0.003037126,0.05
8202,Kansas City,3.1468609523739724e-16,0.0,0.0027786253,0.0
8203,Kansas State,1.8856514822768804e-09,0.0,0.0027744563,0.0
8204,Kennesaw State,4.521669279501544e-16,0.0,0.0027744675,0.0
8205,Kent State,2.930265082748273e-11,0.0,0.0027786794,0.0
8206,Kentucky,9.186736494057104e-05,0.0,0.0028521952,0.05
8207,La Salle,6.49241068001358e-15,0.0,0.002769165,0.0
8208,Lafayette,1.3629404368375567e-20,0.0,0.0028063802,0.0
8209,Lamar,2.2282364832803482e-20,0.0,0.002778562,0.0
8210,Lehigh,5.609854264628102e-18,0.0,0.0027744928,0.0
8211,Liberty,2.908521564031514e-09,0.0,0.002786595,0.0
8212,Lipscomb,1.975281181088838e-15,0.0,0.002825085,0.0
8213,Little Rock,1.0787482132080752e-15,0.0,0.0027691617,0.0
8214,Long Beach State,3.541439649620877e-10,0.0,0.0028254166,0.0
8215,Long Island University,3.4027656394941e-17,0.0,0.0027886163,0.0
8216,Longwood,7.195454796565742e-10,0.0,0.002842193,0.0
8217,Louisiana,2.7815911066790273e-12,0.0,0.00276924,0.0
8218,Louisiana State,0.005159621954163848,0.0,0.0027920364,0.0
8219,Louisiana Tech,7.684807839914931e-09,0.0,0.0027865036,0.0
8220,Louisiana-Monroe,1.1713927553301286e-15,0.0,0.002769165,0.0
8221,Louisville,2.28622091684697e-12,0.0,0.0027691761,0.0
8222,Loyola (IL),1.1792992219699505e-06,0.0,0.002781964,0.0
8223,Loyola (MD),1.4433829409001155e-16,0.0,0.0027838543,0.0
8224,Loyola Marymount,4.42096086445642e-14,0.0,0.002769165,0.0
8225,Maine,9.425542849250135e-21,0.0,0.002778559,0.0
8226,Manhattan,7.294325101540703e-15,0.0,0.0027691608,0.0
8227,Marist,1.9495712156718846e-13,0.0,0.0027785911,0.0
8228,Marquette,2.141930805329598e-07,0.0,0.0027866312,0.0
8229,Marshall,7.158590444272437e-14,0.0,0.0027945447,0.0
8230,Maryland,2.5455701086010687e-08,0.0,0.0027744563,0.0
8231,Maryland-Baltimore County,1.6365728401156727e-13,0.0,0.0027958096,0.0
8232,Maryland-Eastern Shore,1.3638335107099799e-17,0.0,0.0027691731,0.0
8233,Massachusetts,2.7482108440723225e-10,0.0,0.002774453,0.0
8234,Massachusetts-Lowell,1.871602647918021e-14,0.0,0.0027691617,0.0
8235,McNeese State,8.541564221427067e-14,0.0,0.002824403,0.0
8236,Memphis,2.0277848484353723e-05,0.0,0.0027997892,0.0
8237,Mercer,1.4540342321779948e-11,0.0,0.0027916064,0.0
8238,Merrimack,6.771329210739913e-18,0.0,0.0027786025,0.0
8239,Miami (FL),0.0008494930475133952,0.0,0.0028469856,0.05
8240,Miami (OH),6.606020768323957e-15,0.0,0.0028023382,0.0
8241,Michigan,2.0268970773814925e-06,0.0,0.0027743257,0.0
8242,Michigan State,0.005456592232109587,0.0,0.0027690337,0.0
8243,Middle Tennessee,7.262331228179124e-07,0.0,0.00291182,0.0
8244,Milwaukee,6.007712504764055e-18,0.0,0.002769165,0.0
8245,Minnesota,4.354679157136429e-10,0.0,0.0027785639,0.0
8246,Mississippi,2.388040209299231e-09,0.0,0.0027744602,0.0
8247,Mississippi State,8.36450251198709e-07,0.0,0.00278867,0.0
8248,Mississippi Valley State,1.9418176256186683e-23,0.0,0.0027691722,0.0
8249,Missouri,5.079513442714462e-11,0.0,0.0027944453,0.0
8250,Missouri State,9.405611772441615e-07,0.0,0.002769314,0.0
8251,Monmouth,2.3465011217117305e-12,0.0,0.0028005873,0.0
8252,Montana,1.1805693670054306e-16,0.0,0.0028057932,0.0
8253,Montana State,5.126788460012589e-11,0.0,0.002837492,0.0
8254,Morehead State,1.0240673950610656e-11,0.0,0.0027819064,0.0
8255,Morgan State,2.7295755458747877e-17,0.0,0.0027691692,0.0
8256,Mount St. Mary's,3.9421517380736304e-17,0.0,0.002780627,0.0
8257,Murray State,1.1443704077648815e-06,0.0,0.0027920464,0.0
8258,Navy,7.8230860696352e-15,0.0,0.0027744572,0.0
8259,NC State,1.1658646644979028e-09,0.0,0.0027691629,0.0
8260,Nebraska,8.138656615657942e-13,0.0,0.0027945407,0.0
8261,Nevada,4.644336741808156e-11,0.0,0.0027691608,0.0
8262,Nevada-Las Vegas,2.8944013689601722e-11,0.0,0.0028022607,0.0
8263,New Hampshire,8.300722801353209e-17,0.0,0.0027974762,0.0
8264,New Mexico,1.3413693699699532e-11,0.0,0.0027786708,0.0
8265,New Mexico State,1.1551821026447704e-08,0.0,0.0027995766,0.0
8266,New Orleans,8.490772401789506e-14,0.0,0.0027693026,0.0
8267,Niagara,3.5514213750533655e-13,0.0,0.0027827725,0.0
8268,Nicholls State,6.012175893477483e-12,0.0,0.0028249847,0.0
8269,NJIT,7.757246718595109e-19,0.0,0.0027691731,0.0
8270,Norfolk State,1.2565998869476185e-11,0.0,0.0028079334,0.0
8271,North Alabama,7.703558605602458e-15,0.0,0.002778559,0.0
8272,North Carolina,0.1891345422950826,0.0,0.0028935936,0.05
8273,North Carolina A&T,1.7728653276562359e-15,0.0,0.0027691722,0.0
8274,North Carolina Central,2.161378901661351e-15,0.0,0.0027745801,0.0
8275,North Dakota,1.524045913278875e-19,0.0,0.0027691608,0.0
8276,North Dakota State,1.7052266956039986e-11,0.0,0.002789661,0.0
8277,North Florida,7.742030962439757e-16,0.0,0.0027691284,0.0
8278,North Texas,4.797396455365047e-10,0.0,0.002833997,0.0
8279,Northeastern,2.5822207830530458e-14,0.0,0.002769165,0.0
8280,Northern Arizona,5.535911504655127e-19,0.0,0.0027691761,0.0
8281,Northern Colorado,1.564943371222287e-11,0.0,0.0028338877,0.0
8282,Northern Illinois,4.868574454427962e-19,0.0,0.0027691722,0.0
8283,Northern Iowa,7.494400194312802e-09,0.0,0.0027745399,0.0
8284,Northern Kentucky,2.369099643822618e-12,0.0,0.0027691552,0.0
8285,Northwestern,1.1444943546201907e-10,0.0,0.0027744623,0.0
8286,Northwestern State,9.887860543940741e-16,0.0,0.0027946506,0.0
8287,Notre Dame,0.0006093288916329271,0.0,0.0028142561,0.0
8288,Oakland,4.552184647766872e-10,0.0,0.0027915954,0.0
8289,Ohio,4.764345976765403e-10,0.0,0.002804683,0.0
8290,Ohio State,3.735818040132949e-07,0.0,0.0027866273,0.0
8291,Oklahoma,2.0369248037838218e-05,0.0,0.002794837,0.0
8292,Oklahoma State,1.9458874876448187e-09,0.0,0.0027744644,0.0
8293,Old Dominion,2.5200240949658395e-13,0.0,0.0027744675,0.0
8294,Omaha,5.242808078948532e-19,0.0,0.0027945447,0.0
8295,Oral Roberts,4.691775221063477e-11,0.0,0.0027744188,0.0
8296,Oregon,1.234289209142238e-07,0.0,0.0027944318,0.0
8297,Oregon State,6.019208299947927e-15,0.0,0.002769165,0.0
8298,Pacific,3.616437229950603e-16,0.0,0.0027691608,0.0
8299,Penn State,2.6740045498061244e-08,0.0,0.0027838543,0.0
8300,Pennsylvania,1.966251103957146e-14,0.0,0.0027921726,0.0
8301,Pepperdine,9.189055666124996e-15,0.0,0.002769351,0.0
8302,Pittsburgh,1.529736544453912e-14,0.0,0.0027691608,0.0
8303,Portland,4.8676623007059304e-11,0.0,0.0028451479,0.0
8304,Portland State,1.4831278299474387e-15,0.0,0.0027691931,0.0
8305,Prairie View,1.6338826971721261e-16,0.0,0.0027691578,0.0
8306,Presbyterian,1.5913522549925315e-17,0.0,0.0027691722,0.0
8307,Princeton,1.15699667200322e-11,0.0,0.0028422035,0.0
8308,Providence,1.7948846378405803e-06,0.0,0.002842193,0.0
8309,Purdue,0.00623770242829939,0.0,0.0029713719,0.0
8310,Purdue-Fort Wayne,5.642710085046438e-11,0.0,0.002801519,0.0
8311,Quinnipiac,5.747501114516873e-14,0.0,0.0027692611,0.0
8312,Radford,7.15478690934711e-18,0.0,0.0027691731,0.0
8313,Rhode Island,7.8749521464386e-12,0.0,0.0027744644,0.0
8314,Rice,4.928423202455494e-11,0.0,0.0027744563,0.0
8315,Richmond,4.894267811275195e-06,0.0,0.002816553,0.05
8316,Rider,1.7946373943801753e-12,0.0,0.0027691608,0.0
8317,Robert Morris,1.6835660365262282e-16,0.0,0.002769165,0.0
8318,Rutgers,5.088656651314773e-10,0.0,0.0027886492,0.0
8319,Sacramento State,2.946130039100713e-17,0.0,0.0027691752,0.0
8320,Sacred Heart,1.964972015308911e-18,0.0,0.002769165,0.0
8321,Saint Francis (PA),3.3523540059841766e-19,0.0,0.0027691722,0.0
8322,Saint Joseph's,3.464190986127101e-14,0.0,0.0027838687,0.0
8323,Saint Louis,2.2195791952192434e-07,0.0,0.0027885216,0.0
8324,Saint Mary's (CA),0.0017084215903353953,0.0,0.0028167104,0.0
8325,Saint Peter's,1.8577086731612202e-10,0.0,0.002774413,0.0
8326,Sam Houston State,3.9992111542562055e-12,0.0,0.0027915486,0.0
8327,Samford,3.354457145889575e-11,0.0,0.0027866312,0.0
8328,San Diego,1.6009924676604634e-11,0.0,0.002769165,0.0
8329,San Diego State,5.407037613865288e-06,0.0,0.0028083373,0.0
8330,San Francisco,1.8067026466489104e-05,0.0,0.0028021007,0.0
8331,San Jose State,1.9352292548921623e-16,0.0,0.0027785734,0.0
8332,Santa Clara,2.633544500958388e-07,0.0,0.0028021534,0.0
8333,Seattle,1.4485699933414367e-13,0.0,0.0028071825,0.0
8334,Seton Hall,0.0006325481495201771,0.0,0.0027866273,0.0
8335,Siena,3.3824871268233434e-14,0.0,0.002769155,0.0
8336,South Alabama,9.142665520872774e-12,0.0,0.0028055038,0.0
8337,South Carolina,5.892753103081841e-10,0.0,0.0027827392,0.0
8338,South Carolina State,5.792287491095848e-16,0.0,0.0027691608,0.0
8339,South Carolina Upstate,3.623749672291104e-16,0.0,0.0027691931,0.0
8340,South Dakota,1.846627817167172e-14,0.0,0.0027786656,0.0
8341,South Dakota State,9.018968238470916e-05,0.0,0.0028425069,0.0
8342,South Florida,1.4586056172208362e-15,0.0,0.0027691731,0.0
8343,Southeast Missouri State,2.1425802022163022e-16,0.0,0.0027946418,0.0
8344,Southeastern Louisiana,5.7560535853811154e-11,0.0,0.002829577,0.0
8345,Southern,8.611343790379396e-15,0.0,0.002789302,0.0
8346,Southern California,7.316547327534714e-07,0.0,0.0028070635,0.05
8347,Southern Illinois,1.005094190389071e-12,0.0,0.0027922802,0.0
8348,SIU Edwardsville,9.019955276483917e-16,0.0,0.00276924,0.0
8349,Southern Methodist,1.027851854371714e-06,0.0,0.0028139476,0.0
8350,Southern Mississippi,6.894408242853317e-17,0.0,0.0027946457,0.0
8351,Southern Utah,3.780780728792026e-12,0.0,0.0028600055,0.0
8352,St. Bonaventure,5.250036949206455e-06,0.0,0.0028014842,0.0
8353,St. Francis (NY),6.980170861844469e-18,0.0,0.002778562,0.0
8354,St. John's (NY),1.4816662032886073e-10,0.0,0.0027691307,0.0
8355,St. Thomas (MN),3.3350823707628316e-18,0.0,0.0027785276,0.0
8356,Stanford,2.1806455114486664e-10,0.0,0.0027745466,0.0
8357,Stephen F. Austin,1.0311257215366125e-11,0.0,0.0028072635,0.0
8358,Stetson,2.1036305331923543e-16,0.0,0.002778562,0.0
8359,Stony Brook,1.31837993943996e-13,0.0,0.002800249,0.0
8360,Syracuse,2.287851058738718e-05,0.0,0.002778801,0.0
8361,Tarleton State,6.395874755770999e-16,0.0,0.0027744854,0.0
8362,TCU,1.9163443817279107e-05,0.0,0.002769135,0.0
8363,Temple,3.6065873756640233e-12,0.0,0.0027922874,0.0
8364,Tennessee,0.04702002778581905,0.0,0.0028411762,0.05
8365,Tennessee State,4.020808320141574e-15,0.0,0.0027691608,0.0
8366,Tennessee Tech,2.9203184573805494e-14,0.0,0.0027691761,0.0
8367,Tennessee-Martin,3.8703494250533106e-17,0.0,0.002769165,0.0
8368,Texas,4.6877651566258173e-07,0.0,0.0028039564,0.0
8369,Texas A&M,0.0498127582921373,0.0,0.0029724326,0.0
8370,Texas A&M-Corpus Christi,5.879482266477328e-11,0.0,0.0028267165,0.0
8371,Texas Southern,4.727116509747662e-13,0.0,0.0027821504,0.0
8372,Texas State,3.688617075829604e-11,0.0,0.002814713,0.0
8373,Texas Tech,0.025286562116077438,0.0,0.0028467877,0.05
8374,Texas-Rio Grande Valley,9.273649742389378e-19,0.0,0.0027693766,0.0
8375,The Citadel,9.888205566636796e-17,0.0,0.0027691356,0.0
8376,Toledo,9.947202874795246e-09,0.0,0.002838636,0.0
8377,Towson,9.813563695493526e-10,0.0,0.0028094524,0.0
8378,Troy,2.1174449044433415e-11,0.0,0.002788144,0.0
8379,Tulane,3.493620187049071e-09,0.0,0.0027880669,0.0
8380,Tulsa,2.6153265515848725e-11,0.0,0.0027691608,0.0
8381,UAB,0.005306782483063659,0.0,0.002803034,0.05
8382,UC Davis,3.4648394927793825e-16,0.0,0.002778561,0.0
8383,UC Irvine,1.4501947244993467e-12,0.0,0.0027841025,0.0
8384,UC Riverside,1.0875743674737866e-15,0.0,0.0027974627,0.0
8385,UC San Diego,5.230002256711234e-15,0.0,0.0027744572,0.0
8386,UC Santa Barbara,2.0658649282902674e-15,0.0,0.0027921686,0.0
8387,UCLA,0.0076885650283106495,0.0,0.0028365732,0.0
8388,UNC Asheville,9.559626185474888e-13,0.0,0.0027744563,0.0
8389,UNC Greensboro,3.918428055361272e-11,0.0,0.0027744928,0.0
8390,UNC Wilmington,4.784448232896382e-09,0.0,0.002835591,0.0
8391,UT Arlington,2.466209801543899e-15,0.0,0.0027691617,0.0
8392,Utah,4.825130802540353e-11,0.0,0.0027692572,0.0
8393,Utah State,3.699758987527466e-10,0.0,0.0027744046,0.0
8394,Utah Tech,3.789574304077663e-17,0.0,0.0027744675,0.0
8395,Utah Valley,9.149379023042352e-10,0.0,0.0027787834,0.0
8396,UTEP,2.070758760071129e-11,0.0,0.0027690376,0.0
8397,UTSA,1.221041177705208e-16,0.0,0.0027691608,0.0
8398,Valparaiso,1.0429127263467973e-10,0.0,0.002769165,0.0
8399,Vanderbilt,2.5148515238647243e-09,0.0,0.002831723,0.0
8400,Vermont,4.476736799341176e-10,0.0,0.0028420885,0.0
8401,Villanova,0.1952198376193025,0.0,0.002882212,0.0
8402,Virginia,2.2343897029215977e-10,0.0,0.0027785928,0.0
8403,Virginia Commonwealth,1.5935716620468055e-08,0.0,0.0027693147,0.0
8404,VMI,3.6550682705275605e-11,0.0,0.0028051783,0.0
8405,Virginia Tech,0.0001309363619129086,0.0,0.0027787455,0.0
8406,Wagner,3.524905048467939e-17,0.0,0.002814855,0.0
8407,Wake Forest,4.7101668479508524e-07,0.0,0.0028536727,0.0
8408,Washington,9.011828389062335e-10,0.0,0.0027786635,0.0
8409,Washington State,3.1939614472622784e-07,0.0,0.0028114317,0.0
8410,Weber State,3.120531959749268e-11,0.0,0.002800685,0.0
8411,West Virginia,6.358730722388715e-07,0.0,0.0027691196,0.0
8412,Western Carolina,5.286818581756686e-17,0.0,0.0027946164,0.0
8413,Western Illinois,5.781206250309854e-15,0.0,0.0027745175,0.0
8414,Western Kentucky,5.990393202843938e-07,0.0,0.0027866273,0.05
8415,Western Michigan,1.2043117759704233e-17,0.0,0.002778562,0.0
8416,Wichita State,1.0477144829854125e-09,0.0,0.0027786717,0.0
8417,William & Mary,1.323953348779167e-16,0.0,0.002769279,0.0
8418,Winthrop,5.778854984972401e-12,0.0,0.0028123783,0.0
8419,Wisconsin,1.2332962245092078e-08,0.0,0.002769153,0.0
8420,Wofford,7.167022007512963e-12,0.0,0.0027922466,0.0
8421,Wright State,8.424027114048873e-10,0.0,0.0028532275,0.0
8422,Wyoming,2.295923317258653e-08,0.0,0.0028081567,0.0
8423,Xavier,2.3405562770737467e-06,0.0,0.002843171,0.0
8424,Yale,1.7277555644216066e-11,0.0,0.0028005561,0.0
8425,Youngstown State,3.052499921871015e-16,0.0,0.0027865523,0.0
