School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Portland,Portland Oregon,Oregon,OR,1954,2023,70,1963,827,1136,0.421,-5.11,0.76,0,0,1,2,0,0,44,-120.5,,,,
Portland State,Portland Oregon,Oregon,OR,1973,2023,34,962,470,492,0.489,-5.65,-2.71,0,2,2,2,0,0,44,-120.5,,,,
Prairie View,Prairie View Texas,Texas,TX,1981,2023,43,1222,376,846,0.308,-19.86,-8.11,0,4,2,2,0,0,31,-100,,,,
Sam Houston State,Huntsville Texas,Texas,TX,1987,2023,37,1083,576,507,0.532,-6.12,-5.01,0,6,2,2,0,0,31,-100,,,,
Samford,Birmingham Alabama,Alabama,AL,1973,2023,51,1452,636,816,0.438,-8.65,-5.14,0,3,2,2,0,0,32.31823,-86.902298,,,,
San Jose State,San Jose California,California,CA,1938,2023,73,1981,780,1201,0.394,-4.41,0.81,0,1,2,2,0,0,36.778259,-119.417931,,,,
Tennessee State,Nashville Tennessee,Tennessee,TN,1978,2023,46,1300,551,749,0.424,-8.69,-4.77,0,2,2,2,0,0,35.860119,-86.660156,,,,
Tennessee Tech,Cookeville Tennessee,Tennessee,TN,1944,2023,69,1872,904,968,0.483,-6.72,-3.51,0,7,1,2,0,0,35.860119,-86.660156,,,,
Texas A&M-Corpus Christi,Corpus Christi Texas,Texas,TX,2003,2023,21,625,319,306,0.51,-6.3,-4.88,0,1,2,2,0,0,31,-100,,,,
Texas State,San Marcos Texas,Texas,TX,1985,2023,39,1123,530,593,0.472,-7.78,-5.42,0,5,2,2,0,0,31,-100,,,,
Towson,Towson Maryland,Maryland,MD,1980,2023,44,1281,552,729,0.431,-7.37,-4.24,0,5,3,2,0,0,39.045753,-76.641273,,,,
Troy,Troy Alabama,Alabama,AL,1994,2023,30,878,417,461,0.475,-7.2,-4.78,0,6,2,2,0,0,32.31823,-86.902298,,,,
UC Irvine,Irvine California,California,CA,1978,2023,46,1362,686,676,0.504,-0.94,0.3,0,7,2,2,0,0,36.778259,-119.417931,,,,
Alabama A&M,Normal Alabama,Alabama,AL,2000,2023,24,662,252,410,0.381,-16.83,-11.05,0,1,1,1,0,0,32.31823,-86.902298,,,,
Arkansas State,State University Arkansas,Arkansas,AR,1971,2023,53,1513,777,736,0.514,-3.71,-3.05,0,7,1,1,0,0,34.799999,-92.199997,,,,
Arkansas-Pine Bluff,Pine Bluff Arkansas,Arkansas,AR,1999,2023,25,733,213,520,0.291,-19.24,-7.63,0,0,1,1,0,0,34.799999,-92.199997,,,,
Binghamton,Binghamton New York,New York,NY,2002,2023,22,629,224,405,0.356,-11.36,-5.58,0,1,1,1,0,0,43,-75,,,,
Bryant,Smithfield Rhode Island,Rhode Island,RI,2011,2023,13,372,155,217,0.417,-9.15,-5.46,0,1,1,1,0,0,41.742325,-71.742332,,,,
Cal Poly,San Luis Obispo California,California,CA,1995,2023,29,824,318,506,0.386,-7.08,-1.74,0,1,1,1,0,0,36.778259,-119.417931,,,,
Cal State Bakersfield,Bakersfield California,California,CA,2011,2023,13,379,185,194,0.488,-4.89,-2.74,0,1,1,1,0,0,36.778259,-119.417931,,,,
Cal State Los Angeles Golden Eagles,Los Angeles California,California,CA,1971,1975,5,130,70,60,0.538,-1.89,1.34,0,0,0,1,0,0,36.778259,-119.417931,,,,
Campbell,Buies Creek North Carolina,North Carolina,NC,1978,2023,46,1308,555,753,0.424,-12.01,-6.92,0,2,1,1,0,0,35.782169,-80.793457,,,,
Catholic Cardinals,Washington D.C.,Washington D.C.,DC,1913,1981,13,248,122,126,0.492,-15.98,-6.69,0,0,0,1,0,0,38.9072,-77.0369,,,,
Charleston Southern,Charleston South Carolina,South Carolina,SC,1975,2023,49,1382,561,821,0.406,-13.27,-6.95,0,4,4,1,0,0,33.836082,-81.163727,,,,
Delaware State,Dover Delaware,Delaware,DE,1974,2023,50,1415,542,873,0.383,-16.95,-9.87,0,3,1,1,0,0,39,-75.5,,,,
Florida Atlantic,Boca Raton Florida,Florida,FL,1994,2023,30,868,335,533,0.386,-7.82,-3.22,0,1,1,1,0,0,27.994402,-81.760254,,,,
