School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Scranton Royals,Scranton Pennsylvania,Pennsylvania,PA,1948,1948,1,27,7,20,0.259,,,0,0,0,0,0,0,41.203323,-77.194527,,,,
Sewanee Tigers,Sewanee Tennessee,Tennessee,TN,1923,1941,19,248,48,200,0.194,,,0,0,0,0,0,0,35.860119,-86.660156,,,,
South Carolina Upstate,Spartanburg South Carolina,South Carolina,SC,2011,2023,13,392,162,230,0.413,-9.6,-4.09,0,0,0,0,0,0,33.836082,-81.163727,,,,
South Dakota,Vermillion South Dakota,South Dakota,SD,2011,2023,13,382,200,182,0.524,-4.63,-3.01,0,1,0,0,0,0,44.5,-100,,,,
Southern Illinois-Edwardsville,Edwardsville Illinois,Illinois,IL,2011,2023,13,359,116,243,0.323,-11.88,-4.41,0,0,0,0,0,0,40,-89,,,,
Southern Indiana,Evansville Indiana,Indiana,IN,2023,2023,1,7,3,4,0.429,0.67,2.33,0,0,0,0,0,0,40.273502,-86.126976,,,,
St. Francis (NY),Brooklyn Heights New York,New York,NY,1902,2023,104,2596,1262,1334,0.486,-11.7,-5.67,0,6,0,0,0,0,43,-75,,,,
St. Thomas (MN),St. Paul Minnesota,Minnesota,MN,2022,2023,2,40,17,23,0.425,-5.03,-3.19,0,0,0,0,0,0,46.39241,-94.63623,,,,
Stetson,DeLand Florida,Florida,FL,1972,2023,52,1469,664,805,0.452,-8.12,-4.45,0,0,0,0,0,0,27.994402,-81.760254,,,,
Stonehill,Easton Massachusetts,Massachusetts,MA,2023,2023,1,10,4,6,0.4,-9.54,-0.32,0,0,0,0,0,0,42.407211,-71.382439,,,,
Tarleton State,Stephenville Texas,Texas,TX,2021,2023,3,59,29,30,0.492,-1.79,-0.14,0,0,0,0,0,0,31,-100,,,,
Tennessee-Martin,Martin Tennessee,Tennessee,TN,1993,2023,31,892,334,558,0.374,-11.34,-4.11,0,3,0,0,0,0,35.860119,-86.660156,,,,
Texas A&M-Commerce,Commerce Texas,Texas,TX,2023,2023,1,8,4,4,0.5,-3.79,-2.08,0,0,0,0,0,0,31,-100,,,,
Texas Wesleyan Rams,Fort Worth Texas,Texas,TX,1948,1948,1,30,19,11,0.633,,,0,0,0,0,0,0,31,-100,,,,
Texas-Rio Grande Valley,Edinburg Texas,Texas,TX,1969,2023,55,1529,655,874,0.428,-8.43,-3.04,0,0,0,0,0,0,31,-100,,,,
The Citadel,Charleston South Carolina,South Carolina,SC,1913,2023,111,2457,1034,1423,0.421,-12.83,-5.36,0,0,0,0,0,0,33.836082,-81.163727,,,,
Trinity (TX) Tigers,San Antonio Texas,Texas,TX,1971,1973,3,70,25,45,0.357,-24.37,-5.64,0,0,0,0,0,0,31,-100,,,,
U.S. International Gulls,San Diego California,California,CA,1982,1991,10,279,69,210,0.247,-18.06,-5.34,0,0,0,0,0,0,36.778259,-119.417931,,,,
UC Riverside,Riverside California,California,CA,2002,2023,22,625,233,392,0.373,-7.27,-1.91,0,0,0,0,0,0,36.778259,-119.417931,,,,
UC San Diego,La Jolla California,California,CA,2021,2023,3,54,24,30,0.444,-7.02,-1.29,0,0,0,0,0,0,36.778259,-119.417931,,,,
Utah Tech,St. George Utah,Utah,UT,2021,2023,3,61,25,36,0.41,-8.17,-0.61,0,0,0,0,0,0,39.41922,-111.950684,,,,
Utah Valley,Orem Utah,Utah,UT,2010,2023,14,412,219,193,0.532,-5.04,-4.24,0,4,0,0,0,0,39.41922,-111.950684,,,,
Utica Pioneers,Utica New York,New York,NY,1982,1987,6,158,64,94,0.405,-12.94,-7.34,0,0,0,0,0,0,43,-75,,,,
Washburn Ichabods,Topeka Kansas,Kansas,KS,1906,1941,35,557,270,283,0.488,,,0,0,0,0,0,0,38.5,-98,,,,
Washington & Jefferson Presidents,Washington Pennsylvania,Pennsylvania,PA,1913,1944,10,128,73,55,0.57,,,0,0,0,0,0,0,41.203323,-77.194527,,,,
Washington & Lee Generals,Lexington Virginia,Virginia,VA,1907,1959,51,905,472,432,0.522,-15.24,-5.6,0,3,2,0,0,0,37.926868,-78.024902,,,,
Washington (MO) Bears,St. Louis Missouri,Missouri,MO,1905,1960,52,921,433,488,0.47,-5.22,-1.75,0,2,0,0,0,0,38.573936,-92.60376,,,,
Wayne State (MI),Detroit Michigan,Michigan,MI,1928,1950,5,104,47,57,0.452,,,0,0,0,0,0,0,44.182205,-84.506836,,,,
West Chester Golden Rams,West Chester Pennsylvania,Pennsylvania,PA,1899,1982,10,244,86,158,0.352,-17.61,-8.15,0,1,0,0,0,0,41.203323,-77.194527,,,,
Western Illinois,Macomb Illinois,Illinois,IL,1982,2023,42,1178,486,692,0.413,-8.63,-3.69,0,2,1,0,0,0,40,-89,,,,
William & Mary,Williamsburg Virginia,Virginia,VA,1906,2023,118,2726,1270,1456,0.466,-5.54,-2.52,0,3,0,0,0,0,37.926868,-78.024902,,,,
Youngstown State,Youngstown Ohio,Ohio,OH,1948,2023,43,1234,489,745,0.396,-8.14,-3.43,0,0,0,0,0,0,40.367474,-82.996216,,,,
Allegheny Gators,Meadville Pennsylvania,Pennsylvania,PA,1896,1916,21,234,191,41,0.823,,,0,0,0,,,,41.203323,-77.194527,,,,
Amherst,Amherst Massachusetts,Massachusetts,MA,1901,1902,2,12,12,0,1,,,0,0,0,,,,42.407211,-71.382439,,,,
Augustana (IL) Vikings,Rock Island Illinois,Illinois,IL,1902,1917,12,116,81,35,0.698,,,0,0,0,,,,40,-89,,,,
Baker University Wildcats,Baldwin City Kansas,Kansas,KS,1903,1908,6,90,62,28,0.689,,,0,0,0,,,,38.5,-98,,,,
Beloit,Beloit Wisconsin,Wisconsin,WI,1911,1924,8,95,66,28,0.702,,,0,0,0,,,,44.5,-89.5,,,,
Bloomsburg Huskies,Bloomsburg Pennsylvania,Pennsylvania,PA,1896,1911,15,143,88,55,0.615,,,0,0,0,,,,41.203323,-77.194527,,,,
Brigham Young College,Logan Utah,Utah,UT,1908,1908,1,11,10,1,0.909,,,0,0,0,,,,39.41922,-111.950684,,,,
Canterbury College,Danville Indiana,Indiana,IN,1931,1931,1,19,19,0,1,,,0,0,0,,,,40.273502,-86.126976,,,,
Carleton College Knights,Northfield Minnesota,Minnesota,MN,1910,1934,25,360,280,80,0.778,,,0,0,0,,,,46.39241,-94.63623,,,,
Central Missouri,Warrensburg Missouri,Missouri,MO,1913,1937,10,178,140,38,0.787,,,0,0,0,,,,38.573936,-92.60376,,,,
Central Pennsylvania College Knights,Summerdale Pennsylvania,Pennsylvania,PA,1896,1900,4,6,2,4,0.333,,,0,0,0,,,,41.203323,-77.194527,,,,
Centre (KY) Colonels,Danville Kentucky,Kentucky,KY,1910,1919,3,45,41,4,0.911,,,0,0,0,,,,37.839333,-84.27002,,,,
Cheyenne Business College,Cheyenne Wyoming,Wyoming,WY,1903,1903,1,1,1,0,1,,,0,0,0,,,,43.07597,-107.290283,,,,
College of New Jersey Lions,Ewing New Jersey,New Jersey,NJ,1900,1900,1,5,3,2,0.6,,,0,0,0,,,,39.833851,-74.871826,,,,
Colorado College Tigers,Colorado Springs Colorado,Colorado,CO,1915,1937,23,376,233,143,0.62,,,0,7,0,,,,39.113014,-105.358887,,,,
Colorado School of Mines Orediggers,Golden Colorado,Colorado,CO,1908,1937,28,282,80,202,0.284,,,0,2,0,,,,39.113014,-105.358887,,,,
Concordia Seminary Preachers,St. Louis Missouri,Missouri,MO,1907,1923,2,16,14,2,0.875,,,0,0,0,,,,38.573936,-92.60376,,,,
Cotner College,Lincoln Nebraska,Nebraska,NE,1910,1911,2,27,24,3,0.889,,,0,0,0,,,,41.5,-100,,,,
Cumberland,Lebanon Tennessee,Tennessee,TN,1904,1904,1,4,4,0,1,,,0,0,0,,,,35.860119,-86.660156,,,,
Dakota Wesleyan Tigers,Mitchell South Dakota,South Dakota,SD,1932,1932,1,20,19,1,0.95,,,0,0,0,,,,44.5,-100,,,,
DePauw Tigers,Greencastle Indiana,Indiana,IN,1916,1932,17,276,182,94,0.659,,,0,0,0,,,,40.273502,-86.126976,,,,
East Central Tigers,Ada Oklahoma,Oklahoma,OK,1929,1931,3,74,66,8,0.892,,,0,0,0,,,,36.084621,-96.921387,,,,
Emporia State Hornets,Emporia Kansas,Kansas,KS,1934,1934,1,18,17,1,0.944,,,0,0,0,,,,38.5,-98,,,,
Ensign College,Salt Lake City Utah,Utah,UT,1903,1903,1,16,15,1,0.938,,,0,0,0,,,,39.41922,-111.950684,,,,
Franklin Grizzlies,Franklin Indiana,Indiana,IN,1907,1925,18,221,144,77,0.652,,,0,0,0,,,,40.273502,-86.126976,,,,
Grove City Wolverines,Grove City Pennsylvania,Pennsylvania,PA,1899,1925,27,383,257,126,0.671,,,0,0,0,,,,41.203323,-77.194527,,,,
Haskell (KS) Fighting Indians,Lawrence Kansas,Kansas,KS,1903,1908,2,39,27,12,0.692,,,0,0,0,,,,38.5,-98,,,,
Hiram Terriers,Hiram Ohio,Ohio,OH,1894,1904,8,59,45,14,0.763,,,0,0,0,,,,40.367474,-82.996216,,,,
Hope Flying Dutchmen,Holland Michigan,Michigan,MI,1908,1913,5,65,44,21,0.677,,,0,0,0,,,,44.182205,-84.506836,,,,
Illinois Wesleyan,Bloomington Illinois,Illinois,IL,1928,1928,1,14,13,1,0.929,,,0,0,0,,,,40,-89,,,,
Kalamazoo Hornets,Kalamazoo Michigan,Michigan,MI,1908,1923,16,193,134,59,0.694,,,0,0,0,,,,44.182205,-84.506836,,,,
Lake Forest Foresters,Lake Forest Illinois,Illinois,IL,1905,1916,12,144,89,55,0.618,,,0,0,0,,,,40,-89,,,,
Lewis Flyers,Romeoville Illinois,Illinois,IL,1905,1905,1,25,20,5,0.8,,,0,0,0,,,,40,-89,,,,
Macalester Scots,St. Paul Minnesota,Minnesota,MN,1896,1899,4,21,8,13,0.381,,,0,0,0,,,,46.39241,-94.63623,,,,
Manchester Spartans,North Manchester Indiana,Indiana,IN,1926,1926,1,16,15,1,0.938,,,0,0,0,,,,40.273502,-86.126976,,,,
Marietta Pioneers,Marietta Ohio,Ohio,OH,1908,1920,13,175,109,66,0.623,,,0,0,0,,,,40.367474,-82.996216,,,,
Massachusetts Institute of Technology Engineers,Cambridge Massachusetts,Massachusetts,MA,1909,1909,1,16,10,6,0.625,,,0,0,0,,,,42.407211,-71.382439,,,,
Millikin Big Blue,Decatur Illinois,Illinois,IL,1910,1921,12,210,150,60,0.714,,,0,0,0,,,,40,-89,,,,
Millsaps Majors,Jackson Mississippi,Mississippi,MS,1911,1921,11,116,59,57,0.509,,,0,0,0,,,,33,-90,,,,
Minnesota A&M Aggies,St. Paul Minnesota,Minnesota,MN,1896,1903,4,30,27,3,0.9,,,0,0,0,,,,46.39241,-94.63623,,,,
Mount Union Purple Raiders,Alliance Ohio,Ohio,OH,1896,1932,37,493,314,179,0.637,,,0,0,0,,,,40.367474,-82.996216,,,,
Muskingum Fighting Muskies,New Concord Ohio,Ohio,OH,1905,1927,3,48,44,4,0.917,,,0,0,0,,,,40.367474,-82.996216,,,,
Nebraska Wesleyan Prairie Wolves,Lincoln Nebraska,Nebraska,NE,1906,1917,12,188,134,54,0.713,,,0,0,0,,,,41.5,-100,,,,
Newberry Wolves,Newberry South Carolina,South Carolina,SC,1921,1921,1,4,2,2,0.5,,,0,0,0,,,,33.836082,-81.163727,,,,
North Central Cardinals,Naperville Illinois,Illinois,IL,1911,1922,8,115,78,37,0.678,,,0,0,0,,,,40,-89,,,,
Northwest Missouri State Bearcats,Maryville Missouri,Missouri,MO,1930,1932,3,97,89,8,0.918,,,0,0,0,,,,38.573936,-92.60376,,,,
Oberlin Yeomen,Oberlin Ohio,Ohio,OH,1905,1921,7,82,61,21,0.744,,,0,0,0,,,,40.367474,-82.996216,,,,
Ohio Wesleyan Battling Bishops,Delaware Ohio,Ohio,OH,1929,1935,2,40,35,5,0.875,,,0,0,0,,,,40.367474,-82.996216,,,,
Phillips Haymakers,Enid Oklahoma,Oklahoma,OK,1920,1920,1,3,2,1,0.667,,,0,0,0,,,,36.084621,-96.921387,,,,
Pittsburg State Gorillas,Pittsburg Kansas,Kansas,KS,1927,1931,5,103,86,17,0.835,,,0,0,0,,,,38.5,-98,,,,
Pratt Institute Cannoneers,Brooklyn New York,New York,NY,1934,1934,1,14,8,6,0.571,,,0,0,0,,,,43,-75,,,,
Rensselaer,Troy New York,New York,NY,1901,1924,4,39,28,11,0.718,,,0,0,0,,,,43,-75,,,,
Ripon Red Hawks,Ripon Wisconsin,Wisconsin,WI,1902,1922,5,59,46,13,0.78,,,0,0,0,,,,44.5,-89.5,,,,
Roanoke,Salem Virginia,Virginia,VA,1912,1919,8,92,67,25,0.728,,,0,0,0,,,,37.926868,-78.024902,,,,
Rose-Hulman Fightin' Engineers,Terre Haute Indiana,Indiana,IN,1898,1898,1,4,2,2,0.5,,,0,0,0,,,,40.273502,-86.126976,,,,
Savage School of Physical Education,New York New York,New York,NY,1896,1898,2,8,6,2,0.75,,,0,0,0,,,,43,-75,,,,
Southwestern (KS),Winfield Kansas,Kansas,KS,1905,1923,19,289,212,77,0.734,,,0,0,0,,,,38.5,-98,,,,
Southwestern (TX) Pirates,Georgetown Texas,Texas,TX,1915,1916,2,10,1,9,0.1,,,0,0,0,,,,31,-100,,,,
Springfield,Springfield Massachusetts,Massachusetts,MA,1897,1935,30,406,268,138,0.66,,,0,0,0,,,,42.407211,-71.382439,,,,
St. John's College (OH),Toledo Ohio,Ohio,OH,1921,1921,1,15,15,0,1,,,0,0,0,,,,40.367474,-82.996216,,,,
St. Lawrence Saints,Canton New York,New York,NY,1902,1914,7,99,70,29,0.707,,,0,0,0,,,,43,-75,,,,
Stevens Institute Ducks,Hoboken New Jersey,New Jersey,NJ,1917,1920,4,48,37,11,0.771,,,0,0,0,,,,39.833851,-74.871826,,,,
SUNY-Potsdam Bears,Potsdam New York,New York,NY,1910,1913,2,32,22,10,0.688,,,0,0,0,,,,43,-75,,,,
Swarthmore Garnet,Swarthmore Pennsylvania,Pennsylvania,PA,1906,1919,11,133,92,41,0.692,,,0,0,0,,,,41.203323,-77.194527,,,,
Trinity (CT) Bantams,Hartford Connecticut,Connecticut,CT,1897,1911,8,81,28,53,0.346,,,0,0,0,,,,41.599998,-72.699997,,,,
Union (NY) Dutchmen,Schenectady New York,New York,NY,1907,1925,19,266,162,104,0.609,,,0,0,0,,,,43,-75,,,,
Wabash Little Giants,Crawfordsville Indiana,Indiana,IN,1897,1925,29,407,301,106,0.74,,,0,0,0,,,,40.273502,-86.126976,,,,
Washington College Shoremen,Chestertown Maryland,Maryland,MD,1913,1925,13,151,109,42,0.722,,,0,0,0,,,,39.045753,-76.641273,,,,
Wesleyan (CT) Cardinals,Middletown Connecticut,Connecticut,CT,1896,1913,13,171,97,74,0.567,,,0,0,0,,,,41.599998,-72.699997,,,,
Western Colorado Mountaineers,Gunnison Colorado,Colorado,CO,1924,1937,14,189,88,101,0.466,,,0,0,0,,,,39.113014,-105.358887,,,,
Westminster (MO) Blue Jays,Fulton Missouri,Missouri,MO,1920,1920,1,17,17,0,1,,,0,0,0,,,,38.573936,-92.60376,,,,
Westminster (PA),New Wilmington Pennsylvania,Pennsylvania,PA,1898,1935,21,294,210,84,0.714,,,0,0,0,,,,41.203323,-77.194527,,,,
Wheaton (IL) Thunder,Wheaton Illinois,Illinois,IL,1902,1905,4,57,39,17,0.696,,,0,0,0,,,,40,-89,,,,
Whittier Poets,Whittier California,California,CA,1909,1915,3,42,38,3,0.927,,,0,0,0,,,,36.778259,-119.417931,,,,
Widener Pride,Chester Pennsylvania,Pennsylvania,PA,1899,1909,5,26,20,6,0.769,,,0,0,0,,,,41.203323,-77.194527,,,,
Williams,Williamstown Massachusetts,Massachusetts,MA,1901,1911,10,161,136,24,0.85,,,0,0,0,,,,42.407211,-71.382439,,,,
Wisconsin-Stevens Point Pointers,Stevens Point Wisconsin,Wisconsin,WI,1898,1918,21,156,98,58,0.628,,,0,0,0,,,,44.5,-89.5,,,,
Wisconsin-Superior Yellowjackets,Superior Wisconsin,Wisconsin,WI,1900,1901,2,14,10,4,0.714,,,0,0,0,,,,44.5,-89.5,,,,
Wittenberg Tigers,Springfield Ohio,Ohio,OH,1931,1931,1,20,18,2,0.9,,,0,0,0,,,,40.367474,-82.996216,,,,
Wooster Fighting Scots,Wooster Ohio,Ohio,OH,1901,1931,31,390,225,165,0.577,,,0,0,0,,,,40.367474,-82.996216,,,,
WPI Engineers,Worcester Massachusetts,Massachusetts,MA,1920,1920,1,16,14,2,0.875,,,0,0,0,,,,42.407211,-71.382439,,,,
