,School,xgb_probabilities
211,North Texas,0.0027609533
212,Northeastern,0.0027609281
213,Northern Arizona,0.002761316
214,Northern Colorado,0.0027861684
215,Northern Illinois,0.002760898
216,Northern Iowa,0.0027609281
217,Northern Kentucky ,0.002760977
218,Northwestern ,0.0027609395
219,Northwestern State,0.0027609037
220,Notre Dame,0.0027609
221,Oakland,0.0027841323
222,Ohio,0.0027608755
223,Ohio State,0.0027610764
224,Oklahoma,0.00276093
225,Oklahoma State,0.002760977
226,Old Dominion,0.0027609435
227,Omaha,0.0027841323
228,Oral Roberts ,0.002781951
229,Oregon,0.002760947
230,Oregon State,0.00276093
231,Pacific,0.0027614548
232,Penn State ,0.0027819404
233,Pennsylvania,0.00276093
234,Pepperdine,0.0027608494
235,Pittsburgh ,0.0027608778
236,Portland,0.0028148321
237,Portland State,0.0027609
238,Prairie View,0.0027609037
239,Presbyterian,0.0027609281
240,Princeton ,0.002760938
241,Providence ,0.0027831811
242,Purdue ,0.0027609833
243,Purdue-Fort Wayne,0.0027609281
244,Queens (NC),0.002806382
245,Quinnipiac,0.0027609337
246,Radford,0.0027609281
247,Rhode Island,0.0027609356
248,Rice,0.002760821
249,Richmond,0.00276093
250,Rider,0.0027609395
251,Robert Morris,0.0027609281
252,Rutgers,0.0027609863
253,Sacramento State,0.0027609281
254,Sacred Heart,0.002760898
255,Saint Francis (PA),0.002760898
256,Saint Joseph's,0.002760898
257,Saint Louis,0.0027608995
258,Saint Mary's (CA) ,0.0027611367
259,Saint Peter's,0.0027609435
260,Sam Houston State,0.0027609435
261,Samford,0.0027831458
262,San Diego,0.0027861684
263,San Diego State ,0.0027609395
264,San Francisco,0.0027861467
265,San Jose State,0.0027609337
266,Santa Clara,0.0027608683
267,Seattle,0.0027609337
268,Seton Hall,0.0027609584
269,Siena,0.00276093
270,South Alabama,0.0027611007
271,South Carolina,0.0027609037
272,South Carolina State,0.0027871646
273,South Carolina Upstate,0.0027609281
274,South Dakota,0.0027617246
275,South Dakota State,0.00276093
276,South Florida,0.0027609037
277,Southeast Missouri State ,0.0028450834
278,Southeastern Louisiana,0.0027609
279,Southern,0.002760898
280,Southern California ,0.00276093
281,Southern Illinois,0.002760938
282,SIU Edwardsville,0.0027831811
283,Southern Indiana,0.0027609037
284,Southern Methodist,0.002760898
285,Southern Mississippi,0.0027609335
286,Southern Utah,0.0028098593
287,St. Bonaventure,0.0027609281
288,St. Francis (NY),0.002760938
289,St. John's (NY),0.002786142
290,St. Thomas,0.0027609
291,Stanford,0.0027608979
292,Stephen F. Austin,0.00276106
293,Stetson,0.0027617547
294,Stonehill,0.00276093
295,Stony Brook,0.0027609
296,Syracuse,0.0027609
297,Tarleton State,0.0027610825
298,TCU ,0.0027609335
299,Temple,0.0027609
300,Tennessee ,0.002760943
301,Tennessee State,0.0027831737
302,Tennessee Tech,0.002760898
303,Tennessee-Martin,0.0028084125
304,Texas ,0.0027608778
305,Texas A&M ,0.0027609437
306,Texas A&M-Commerce,0.002760898
307,Texas A&M-Corpus Christi ,0.0028308884
308,Texas Southern ,0.0027610878
309,Texas State,0.002761106
310,Texas Tech,0.0027609281
311,Texas-Rio Grande Valley,0.002808412
312,The Citadel,0.0027609
313,Toledo,0.0029302505
314,Towson,0.0027609337
315,Troy,0.0027609337
316,Tulane,0.0027869062
317,Tulsa,0.002760898
318,UAB,0.00295612
319,UC Davis,0.0027831793
320,UC Irvine,0.002787077
321,UC Riverside,0.002760947
322,UC San Diego,0.00276093
323,UC Santa Barbara ,0.0027609796
324,UCLA ,0.0027891176
325,UNC Asheville ,0.0027890445
326,UNC Greensboro,0.002760938
327,UNC Wilmington,0.0027832137
328,UT Arlington,0.0027609337
329,Utah,0.0027609435
330,Utah State ,0.0027874394
331,Utah Tech,0.0027885993
332,Utah Valley,0.0028091604
333,UTEP,0.002760964
334,UTSA,0.0027841323
335,Valparaiso,0.0027609
336,Vanderbilt,0.0027610278
337,Vermont ,0.0027611435
338,Villanova,0.0027609519
339,Virginia ,0.0027869663
340,Virginia Commonwealth ,0.0027832692
341,VMI,0.0027841544
342,Virginia Tech,0.0027869067
343,Wagner,0.0027609654
344,Wake Forest,0.0027841246
345,Washington,0.0027609218
346,Washington State,0.0027609656
347,Weber State,0.0027609519
348,West Virginia ,0.0027831732
349,Western Carolina,0.00276092
350,Western Illinois,0.0027609502
351,Western Kentucky,0.00276092
352,Western Michigan,0.0027609256
353,Wichita State,0.0027609502
354,William & Mary,0.00276092
355,Winthrop,0.0027609218
356,Wisconsin,0.0027609598
357,Wofford,0.0027609218
358,Wright State,0.00278694
359,Wyoming,0.0027609502
360,Xavier ,0.0028175688
361,Yale,0.0027610015
362,Youngstown State,0.0028378186
